game_id,turn_index,current_player,opponent_player,n,k,board_before_move,move_row,move_col,blocked_windows,empty_cells,my_center_control,my_immediate_wins,my_marks,my_open_1,my_open_2,my_open_lines,my_two_way_threats,my_winning_windows,neutral_windows,opp_center_control,opp_immediate_wins,opp_marks,opp_open_1,opp_open_2,opp_open_lines,opp_two_way_threats,opp_winning_windows,total_windows,final_winner,final_outcome
164,0,X,O,4,3,"[[null,null,null,null],[null,null,null,null],[null,null,null,null],[null,null,null,null]]",1,1,0,16,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,24,X,1
164,1,O,X,4,3,"[[null,null,null,null],[null,""X"",null,null],[null,null,null,null],[null,null,null,null]]",3,1,0,15,0,0,0,0,0,0,0,0,17,1,0,1,7,0,7,3,0,24,X,-1
164,2,X,O,4,3,"[[null,null,null,null],[null,""X"",null,null],[null,null,null,null],[null,""O"",null,null]]",2,2,1,14,1,0,1,6,0,6,2,0,14,0,0,1,3,0,3,1,0,24,X,1
164,3,O,X,4,3,"[[null,null,null,null],[null,""X"",null,null],[null,null,""X"",null],[null,""O"",null,null]]",3,3,2,13,0,0,1,2,0,2,1,0,10,2,2,2,8,2,10,4,0,24,X,-1
164,4,X,O,4,3,"[[null,null,null,null],[null,""X"",null,null],[null,null,""X"",null],[null,""O"",null,""O""]]",0,0,3,12,2,1,2,8,1,9,4,0,9,0,1,2,2,1,3,1,0,24,X,1
165,0,X,O,4,3,"[[null,null,null,null],[null,null,null,null],[null,null,null,null],[null,null,null,null]]",0,1,0,16,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,24,O,-1
165,1,O,X,4,3,"[[null,""X"",null,null],[null,null,null,null],[null,null,null,null],[null,null,null,null]]",2,1,0,15,0,0,0,0,0,0,0,0,20,0,0,1,4,0,4,1,0,24,O,1
165,2,X,O,4,3,"[[null,""X"",null,null],[null,null,null,null],[null,""O"",null,null],[null,null,null,null]]",2,2,1,14,0,0,1,3,0,3,1,0,14,1,0,1,6,0,6,2,0,24,O,-1
165,3,O,X,4,3,"[[null,""X"",null,null],[null,null,null,null],[null,""O"",""X"",null],[null,null,null,null]]",1,2,3,13,1,0,1,4,0,4,1,0,9,1,0,2,8,0,8,4,0,24,O,1
165,4,X,O,4,3,"[[null,""X"",null,null],[null,null,""O"",null],[null,""O"",""X"",null],[null,null,null,null]]",3,2,6,12,1,0,2,5,0,5,3,0,7,2,2,2,4,2,6,2,0,24,O,-1
165,5,O,X,4,3,"[[null,""X"",null,null],[null,null,""O"",null],[null,""O"",""X"",null],[null,null,""X"",null]]",0,3,7,11,2,2,2,3,2,5,1,0,5,1,0,3,7,0,7,5,0,24,O,1
166,0,X,O,4,3,"[[null,null,null,null],[null,null,null,null],[null,null,null,null],[null,null,null,null]]",2,1,0,16,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,24,X,1
166,1,O,X,4,3,"[[null,null,null,null],[null,null,null,null],[null,""X"",null,null],[null,null,null,null]]",0,1,0,15,0,0,0,0,0,0,0,0,17,1,0,1,7,0,7,3,0,24,X,-1
166,2,X,O,4,3,"[[null,""O"",null,null],[null,null,null,null],[null,""X"",null,null],[null,null,null,null]]",2,2,1,14,1,0,1,6,0,6,2,0,14,0,0,1,3,0,3,1,0,24,X,1
166,3,O,X,4,3,"[[null,""O"",null,null],[null,null,null,null],[null,""X"",""X"",null],[null,null,null,null]]",3,1,1,13,0,0,1,3,0,3,1,0,9,2,2,2,9,2,11,4,0,24,X,-1
166,4,X,O,4,3,"[[null,""O"",null,null],[null,null,null,null],[null,""X"",""X"",null],[null,""O"",null,null]]",2,0,3,12,2,2,2,7,2,9,3,0,7,0,0,2,5,0,5,2,0,24,X,1
167,0,X,O,4,3,"[[null,null,null,null],[null,null,null,null],[null,null,null,null],[null,null,null,null]]",2,2,0,16,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,24,O,-1
167,1,O,X,4,3,"[[null,null,null,null],[null,null,null,null],[null,null,""X"",null],[null,null,null,null]]",1,1,0,15,0,0,0,0,0,0,0,0,17,1,0,1,7,0,7,3,0,24,O,1
167,2,X,O,4,3,"[[null,null,null,null],[null,""O"",null,null],[null,null,""X"",null],[null,null,null,null]]",3,3,2,14,1,0,1,5,0,5,2,0,12,1,0,1,5,0,5,2,0,24,O,-1
167,3,O,X,4,3,"[[null,null,null,null],[null,""O"",null,null],[null,null,""X"",null],[null,null,null,""X""]]",2,1,2,13,1,0,1,5,0,5,2,0,10,1,0,2,7,0,7,6,0,24,O,1
167,4,X,O,4,3,"[[null,null,null,null],[null,""O"",null,null],[null,""O"",""X"",null],[null,null,null,""X""]]",2,0,4,12,1,0,2,5,0,5,4,0,7,2,2,2,6,2,8,2,0,24,O,-1
167,5,O,X,4,3,"[[null,null,null,null],[null,""O"",null,null],[""X"",""O"",""X"",null],[null,null,null,""X""]]",0,1,5,11,2,2,2,5,2,7,2,0,5,1,0,3,7,0,7,5,0,24,O,1
168,0,X,O,4,3,"[[null,null,null,null],[null,null,null,null],[null,null,null,null],[null,null,null,null]]",1,1,0,16,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,24,X,1
168,1,O,X,4,3,"[[null,null,null,null],[null,""X"",null,null],[null,null,null,null],[null,null,null,null]]",1,3,0,15,0,0,0,0,0,0,0,0,17,1,0,1,7,0,7,3,0,24,X,-1
168,2,X,O,4,3,"[[null,null,null,null],[null,""X"",null,""O""],[null,null,null,null],[null,null,null,null]]",2,1,1,14,1,0,1,6,0,6,2,0,14,0,0,1,3,0,3,1,0,24,X,1
168,3,O,X,4,3,"[[null,null,null,null],[null,""X"",null,""O""],[null,""X"",null,null],[null,null,null,null]]",3,1,1,13,0,0,1,3,0,3,1,0,9,2,2,2,9,2,11,4,0,24,X,-1
168,4,X,O,4,3,"[[null,null,null,null],[null,""X"",null,""O""],[null,""X"",null,null],[null,""O"",null,null]]",0,1,2,12,2,1,2,9,1,10,4,0,7,0,1,2,4,1,5,3,0,24,X,1
169,0,X,O,4,3,"[[null,null,null,null],[null,null,null,null],[null,null,null,null],[null,null,null,null]]",3,2,0,16,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,24,O,-1
169,1,O,X,4,3,"[[null,null,null,null],[null,null,null,null],[null,null,null,null],[null,null,""X"",null]]",1,2,0,15,0,0,0,0,0,0,0,0,20,0,0,1,4,0,4,1,0,24,O,1
169,2,X,O,4,3,"[[null,null,null,null],[null,null,""O"",null],[null,null,null,null],[null,null,""X"",null]]",1,3,1,14,0,0,1,3,0,3,1,0,14,1,0,1,6,0,6,2,0,24,O,-1
169,3,O,X,4,3,"[[null,null,null,null],[null,null,""O"",""X""],[null,null,null,null],[null,null,""X"",null]]",1,1,2,13,1,0,1,5,0,5,1,0,11,0,0,2,6,0,6,3,0,24,O,1
169,4,X,O,4,3,"[[null,null,null,null],[null,""O"",""O"",""X""],[null,null,null,null],[null,null,""X"",null]]",3,3,2,12,0,0,2,6,0,6,3,0,6,2,1,2,9,1,10,4,0,24,O,-1
169,5,O,X,4,3,"[[null,null,null,null],[null,""O"",""O"",""X""],[null,null,null,null],[null,null,""X"",""X""]]",1,0,3,11,2,1,2,8,1,9,4,0,6,0,2,3,4,2,6,2,0,24,O,1
170,0,X,O,4,3,"[[null,null,null,null],[null,null,null,null],[null,null,null,null],[null,null,null,null]]",2,1,0,16,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,24,X,1
170,1,O,X,4,3,"[[null,null,null,null],[null,null,null,null],[null,""X"",null,null],[null,null,null,null]]",2,2,0,15,0,0,0,0,0,0,0,0,17,1,0,1,7,0,7,3,0,24,X,-1
170,2,X,O,4,3,"[[null,null,null,null],[null,null,null,null],[null,""X"",""O"",null],[null,null,null,null]]",1,2,2,14,1,0,1,5,0,5,2,0,12,1,0,1,5,0,5,2,0,24,X,1
170,3,O,X,4,3,"[[null,null,null,null],[null,null,""X"",null],[null,""X"",""O"",null],[null,null,null,null]]",2,0,4,13,1,0,1,3,0,3,1,0,9,2,2,2,6,2,8,3,0,24,X,-1
170,4,X,O,4,3,"[[null,null,null,null],[null,null,""X"",null],[""O"",""X"",""O"",null],[null,null,null,null]]",0,3,4,12,2,2,2,6,2,8,3,0,6,1,0,2,6,0,6,3,0,24,X,1
171,0,X,O,4,3,"[[null,null,null,null],[null,null,null,null],[null,null,null,null],[null,null,null,null]]",3,1,0,16,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,24,O,-1
171,1,O,X,4,3,"[[null,null,null,null],[null,null,null,null],[null,null,null,null],[null,""X"",null,null]]",2,1,0,15,0,0,0,0,0,0,0,0,20,0,0,1,4,0,4,1,0,24,O,1
171,2,X,O,4,3,"[[null,null,null,null],[null,null,null,null],[null,""O"",null,null],[null,""X"",null,null]]",1,1,1,14,0,0,1,3,0,3,1,0,14,1,0,1,6,0,6,2,0,24,O,-1
171,3,O,X,4,3,"[[null,null,null,null],[null,""X"",null,null],[null,""O"",null,null],[null,""X"",null,null]]",1,2,2,13,1,0,1,5,0,5,2,0,9,1,0,2,8,0,8,5,0,24,O,1
171,4,X,O,4,3,"[[null,null,null,null],[null,""X"",""O"",null],[null,""O"",null,null],[null,""X"",null,null]]",0,1,4,12,1,0,2,6,0,6,3,0,6,2,2,2,6,2,8,3,0,24,O,-1
171,5,O,X,4,3,"[[null,""X"",null,null],[null,""X"",""O"",null],[null,""O"",null,null],[null,""X"",null,null]]",0,3,5,11,2,2,2,5,2,7,2,0,4,1,0,3,8,0,8,5,0,24,O,1
172,0,X,O,4,3,"[[null,null,null,null],[null,null,null,null],[null,null,null,null],[null,null,null,null]]",2,1,0,16,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,24,X,1
172,1,O,X,4,3,"[[null,null,null,null],[null,null,null,null],[null,""X"",null,null],[null,null,null,null]]",3,3,0,15,0,0,0,0,0,0,0,0,17,1,0,1,7,0,7,3,0,24,X,-1
172,2,X,O,4,3,"[[null,null,null,null],[null,null,null,null],[null,""X"",null,null],[null,null,null,""O""]]",1,2,0,14,1,0,1,7,0,7,3,0,14,0,0,1,3,0,3,0,0,24,X,1
172,3,O,X,4,3,"[[null,null,null,null],[null,null,""X"",null],[null,""X"",null,null],[null,null,null,""O""]]",0,3,0,13,0,0,1,3,0,3,0,0,9,2,2,2,10,2,12,6,0,24,X,-1
172,4,X,O,4,3,"[[null,null,null,""O""],[null,null,""X"",null],[null,""X"",null,null],[null,null,null,""O""]]",3,0,1,12,2,1,2,10,1,11,6,0,7,0,0,2,5,0,5,2,0,24,X,1
173,0,X,O,4,3,"[[null,null,null,null],[null,null,null,null],[null,null,null,null],[null,null,null,null]]",3,2,0,16,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,24,O,-1
173,1,O,X,4,3,"[[null,null,null,null],[null,null,null,null],[null,null,null,null],[null,null,""X"",null]]",2,2,0,15,0,0,0,0,0,0,0,0,20,0,0,1,4,0,4,1,0,24,O,1
173,2,X,O,4,3,"[[null,null,null,null],[null,null,null,null],[null,null,""O"",null],[null,null,""X"",null]]",1,1,1,14,0,0,1,3,0,3,1,0,14,1,0,1,6,0,6,2,0,24,O,-1
173,3,O,X,4,3,"[[null,null,null,null],[null,""X"",null,null],[null,null,""O"",null],[null,null,""X"",null]]",1,2,3,13,1,0,1,4,0,4,1,0,9,1,0,2,8,0,8,4,0,24,O,1
173,4,X,O,4,3,"[[null,null,null,null],[null,""X"",""O"",null],[null,null,""O"",null],[null,null,""X"",null]]",2,1,5,12,1,0,2,6,0,6,2,0,6,2,1,2,6,1,7,2,0,24,O,-1
173,5,O,X,4,3,"[[null,null,null,null],[null,""X"",""O"",null],[null,""X"",""O"",null],[null,null,""X"",null]]",0,2,9,11,2,1,2,2,1,3,0,0,6,2,3,3,3,3,6,1,0,24,O,1
